                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0173,                 0.8619,                 1.1676,                0.70436,                0.63043,                 0.7165,                0.40741,                 1.4828,                  1.261,                 1.4325,              0.0016733,              0.0016733,              0.0016733
                     36,                0.98101,                0.80544,                 1.1015,                0.67667,                0.65217,                0.66943,                0.37329,                 1.5344,                 1.3578,                 1.4745,              0.0016634,              0.0016634,              0.0016634
                     37,                0.95686,                 0.7596,                 1.1086,                0.80241,                0.64006,                 0.7565,                0.41501,                 1.4842,                 1.2845,                 1.4532,              0.0016535,              0.0016535,              0.0016535
                     38,                0.93836,                0.79829,                 1.1074,                0.70363,                0.72283,                  0.752,                  0.417,                 1.4337,                 1.1449,                 1.4005,              0.0016436,              0.0016436,              0.0016436
                     39,                0.96735,                0.81932,                 1.1324,                 0.7246,                0.71196,                0.74891,                0.37889,                 1.5769,                 1.1932,                 1.4703,              0.0016337,              0.0016337,              0.0016337
                     40,                0.93714,                0.75739,                 1.1228,                0.65433,                0.66869,                0.69714,                 0.3803,                 1.6049,                 1.1963,                 1.4992,              0.0016238,              0.0016238,              0.0016238
                     41,                0.89064,                0.72991,                 1.1002,                0.69771,                0.78804,                0.77345,                0.43269,                 1.5394,                 1.1227,                 1.4456,              0.0016139,              0.0016139,              0.0016139
                     42,                0.92262,                 0.7573,                 1.0903,                0.73929,                0.61957,                0.68708,                 0.3716,                 1.6231,                 1.2728,                 1.5362,               0.001604,               0.001604,               0.001604
                     43,                0.84932,                0.73371,                 1.0721,                0.79405,                0.64674,                0.73328,                 0.4205,                 1.5148,                 1.1302,                 1.4721,              0.0015941,              0.0015941,              0.0015941
                     44,                0.87657,                0.76041,                 1.1342,                0.77259,                0.69565,                0.77532,                 0.4182,                 1.5355,                 1.1555,                 1.4745,              0.0015842,              0.0015842,              0.0015842
                     45,                0.89226,                0.72024,                 1.1184,                0.69359,                0.71739,                0.74171,                0.41866,                 1.5047,                 1.1589,                 1.4492,              0.0015743,              0.0015743,              0.0015743
                     46,                0.93606,                0.76608,                 1.0901,                0.67561,                0.69048,                0.72958,                0.39545,                 1.5477,                 1.1668,                 1.4832,              0.0015644,              0.0015644,              0.0015644
                     47,                0.91212,                0.75875,                 1.0985,                0.76607,                0.56953,                0.63385,                0.35751,                 1.5863,                 1.4325,                 1.4727,              0.0015545,              0.0015545,              0.0015545
                     48,                 0.9249,                 0.8361,                 1.1409,                0.69355,                0.65217,                0.71005,                 0.4144,                  1.475,                 1.2537,                 1.4463,              0.0015446,              0.0015446,              0.0015446
