                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3608,                 2.4783,                 1.4085,                0.01773,                0.63587,                0.16926,                0.05743,                 2.0844,                 2.8845,                 1.9112,                0.00028,                0.00028,                0.00028
                      2,                 1.3426,                 1.9111,                  1.415,                0.58742,                0.13587,                0.24158,                0.12273,                 1.5435,                 2.6271,                 1.3962,             0.00057426,             0.00057426,             0.00057426
                      3,                 1.1948,                 1.5501,                 1.3632,                0.38023,                0.15761,                0.23165,                0.11329,                 1.5624,                 2.5131,                 1.4519,             0.00086258,             0.00086258,             0.00086258
                      4,                 1.3167,                 1.4626,                 1.3658,                0.37198,                0.36957,                0.34257,                 0.1548,                 1.6132,                 2.2437,                 1.5043,               0.001145,               0.001145,               0.001145
                      5,                 1.2838,                 1.3008,                 1.2994,                   0.23,                0.44565,                0.18647,                0.07894,                 1.8329,                 2.2395,                 1.7323,              0.0014214,              0.0014214,              0.0014214
                      6,                   1.23,                 1.4502,                 1.3686,                0.20645,                0.34239,                0.17842,                0.08104,                 1.9449,                 2.1939,                 1.7276,              0.0016919,              0.0016919,              0.0016919
                      7,                 1.2869,                 1.2781,                 1.3158,                0.44787,                 0.5158,                0.39537,                0.18676,                 1.7196,                 1.8057,                 1.6152,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2328,                 1.2719,                 1.3154,                0.41205,                0.42935,                0.40053,                0.17808,                 1.9151,                 1.9474,                 1.7428,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2438,                 1.2341,                 1.3283,                0.30772,                0.33152,                0.22486,                0.09409,                 2.1303,                   2.35,                 1.7588,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1832,                 1.1831,                 1.2865,                0.53967,                0.57065,                0.53336,                0.23915,                 1.6973,                 1.6409,                  1.499,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2143,                 1.1429,                 1.2625,                0.64951,                0.63043,                 0.6678,                0.32528,                 1.6386,                  1.598,                  1.477,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2119,                 1.1073,                 1.2584,                0.51825,                0.51087,                0.46626,                0.22926,                 1.8415,                 1.7442,                 1.6401,               0.001802,               0.001802,               0.001802
                     13,                 1.1206,                 1.1193,                 1.2268,                0.67168,                0.50543,                0.61581,                0.30601,                 1.6452,                 1.5691,                 1.5248,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0889,                 1.0844,                 1.2288,                0.77284,                0.51773,                0.66168,                0.34814,                 1.5779,                 1.5079,                 1.4485,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1307,                 1.1412,                 1.2515,                0.66518,                0.55068,                0.59981,                0.30715,                  1.671,                 1.5869,                 1.5639,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0856,                 1.0525,                 1.2414,                0.69302,                0.60121,                0.66553,                0.35815,                 1.6006,                 1.3861,                 1.5032,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0177,                0.98749,                 1.1963,                0.72272,                0.67997,                0.73189,                0.38067,                 1.5955,                 1.4053,                 1.4747,               0.001703,               0.001703,               0.001703
                     18,                 1.1109,                 0.9934,                  1.194,                0.65917,                0.58862,                0.61938,                 0.3209,                 1.7623,                 1.3973,                 1.5692,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1564,                  1.062,                 1.2465,                0.72515,                0.63043,                0.71079,                0.34865,                 1.6084,                  1.545,                 1.4712,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1164,                 1.0187,                 1.2263,                0.65556,                0.56891,                0.64688,                0.31698,                 1.6971,                 1.4722,                 1.5654,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.021,                0.92336,                 1.2066,                0.77415,                0.61413,                0.73493,                 0.4036,                 1.5274,                 1.2501,                 1.4318,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0526,                 1.3566,                 1.2895,                 0.7519,                   0.56,                0.68917,                 0.3695,                 1.6358,                 1.3864,                 1.5183,               0.001604,               0.001604,               0.001604
                     23,                  1.014,                0.95192,                 1.1741,                0.72612,                0.70603,                0.74344,                0.39125,                 1.5579,                 1.2474,                 1.4437,              0.0015842,              0.0015842,              0.0015842
                     24,                0.96053,                0.88027,                 1.1497,                0.81504,                 0.6087,                0.76021,                0.43031,                 1.4806,                 1.1897,                 1.4082,              0.0015644,              0.0015644,              0.0015644
                     25,                0.99835,                0.89274,                 1.1432,                 0.6332,                0.66848,                0.67074,                0.34369,                 1.5402,                 1.4616,                 1.4595,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0124,                0.97805,                 1.1785,                0.78301,                0.65217,                0.75782,                0.42606,                 1.5548,                 1.2251,                 1.4588,              0.0015248,              0.0015248,              0.0015248
                     27,                   1.05,                0.93953,                 1.1693,                0.64747,                0.70109,                0.70928,                0.37087,                 1.6545,                 1.2689,                 1.5369,               0.001505,               0.001505,               0.001505
                     28,                  1.024,                0.89473,                 1.1721,                 0.8294,                0.57065,                0.67978,                0.34319,                 1.7275,                 1.3773,                 1.6121,              0.0014852,              0.0014852,              0.0014852
                     29,                0.97897,                0.85234,                 1.1493,                0.84361,                0.64499,                0.76707,                0.42718,                  1.494,                 1.1604,                 1.4395,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.9715,                0.81449,                 1.1471,                0.81391,                0.64674,                0.77713,                0.42358,                 1.5339,                 1.1078,                 1.4824,              0.0014456,              0.0014456,              0.0014456
                     31,                0.95079,                0.80989,                 1.1353,                0.74653,                0.54891,                0.67057,                0.35192,                 1.6563,                 1.2011,                 1.5495,              0.0014258,              0.0014258,              0.0014258
                     32,                0.91287,                 0.8731,                 1.1421,                0.78385,                0.59127,                0.70338,                0.37514,                 1.6068,                 1.2441,                 1.5021,               0.001406,               0.001406,               0.001406
                     33,                0.92285,                0.80101,                 1.1018,                0.67559,                0.70652,                0.72131,                0.39203,                 1.5701,                 1.2011,                 1.5222,              0.0013862,              0.0013862,              0.0013862
                     34,                0.94512,                0.83638,                 1.1512,                0.73554,                0.71046,                0.76117,                0.40084,                 1.6298,                 1.1845,                 1.4795,              0.0013664,              0.0013664,              0.0013664
                     35,                0.97699,                0.83355,                 1.1428,                0.73343,                0.68478,                0.74937,                0.42203,                 1.5125,                 1.2367,                 1.4509,              0.0013466,              0.0013466,              0.0013466
                     36,                0.95537,                0.77242,                 1.0848,                0.75937,                0.72283,                0.76873,                0.43771,                 1.4714,                 1.0849,                 1.4335,              0.0013268,              0.0013268,              0.0013268
                     37,                0.94087,                0.73003,                 1.0923,                0.78576,                0.69565,                0.78809,                0.44624,                 1.4515,                 1.0382,                 1.4353,               0.001307,               0.001307,               0.001307
                     38,                0.91896,                0.77077,                  1.088,                0.69288,                0.71117,                0.75929,                0.44766,                  1.397,                 1.0984,                 1.3391,              0.0012872,              0.0012872,              0.0012872
                     39,                0.93697,                 0.8345,                 1.1023,                0.69334,                   0.75,                0.77245,                 0.4594,                 1.4238,                  1.065,                 1.3614,              0.0012674,              0.0012674,              0.0012674
                     40,                0.88766,                0.72682,                 1.0938,                0.63833,                0.72283,                0.72492,                0.42722,                 1.4179,                 1.1478,                 1.3564,              0.0012476,              0.0012476,              0.0012476
                     41,                0.82443,                0.68266,                 1.0615,                0.78249,                0.67935,                0.75197,                0.43392,                 1.4646,                 1.0958,                 1.3882,              0.0012278,              0.0012278,              0.0012278
                     42,                0.89743,                0.70202,                  1.093,                0.72959,                 0.7337,                0.77624,                0.42891,                 1.4952,                 1.0465,                 1.4354,               0.001208,               0.001208,               0.001208
                     43,                0.82083,                0.69376,                 1.0558,                0.79658,                0.67391,                0.77068,                0.42423,                 1.5368,                 1.0883,                 1.5023,              0.0011882,              0.0011882,              0.0011882
                     44,                0.86362,                0.75973,                 1.1461,                0.81067,                0.70652,                0.77467,                0.43748,                 1.5186,                 1.0648,                 1.4945,              0.0011684,              0.0011684,              0.0011684
                     45,                0.84399,                0.69902,                 1.0949,                0.77461,                0.66304,                0.77435,                0.42209,                 1.4942,                 1.1772,                 1.4626,              0.0011486,              0.0011486,              0.0011486
                     46,                0.89305,                0.75401,                 1.0673,                0.76295,                0.71718,                0.78656,                0.46291,                 1.4213,                 1.0205,                 1.4024,              0.0011288,              0.0011288,              0.0011288
                     47,                0.88633,                0.73404,                 1.0846,                0.77816,                 0.6863,                 0.7757,                0.44763,                 1.4279,                 1.0597,                 1.3735,               0.001109,               0.001109,               0.001109
                     48,                0.84719,                0.72013,                 1.1105,                0.79162,                0.70199,                 0.7703,                0.43623,                 1.5495,                  1.042,                 1.4952,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0779,                0.88007,                 1.2427,                0.80132,                0.70143,                0.79425,                0.45163,                  1.422,                 1.0162,                 1.4099,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0219,                 1.1855,                 1.2565,                0.69807,                0.66598,                0.74814,                0.42269,                 1.4808,                 1.0833,                 1.4352,              0.0010496,              0.0010496,              0.0010496
                     51,                0.78855,                0.63161,                 1.0358,                0.79146,                0.63587,                0.75742,                0.43101,                 1.5446,                 1.0468,                 1.4855,              0.0010298,              0.0010298,              0.0010298
                     52,                0.81795,                0.65216,                 1.0501,                0.82557,                0.72283,                0.81371,                0.47048,                  1.466,                0.94921,                 1.4568,                0.00101,                0.00101,                0.00101
                     53,                0.77515,                0.61656,                 1.0411,                0.81413,                0.67391,                0.79901,                0.47283,                 1.4232,                0.99496,                 1.4042,              0.0009902,              0.0009902,              0.0009902
                     54,                 0.7982,                0.62524,                 1.0458,                0.82309,                0.66304,                0.78804,                0.48011,                 1.3893,                0.98908,                 1.3949,              0.0009704,              0.0009704,              0.0009704
                     55,                0.82166,                0.64961,                 1.0533,                0.83435,                0.66848,                0.80011,                 0.4712,                 1.4138,                0.95824,                 1.3777,              0.0009506,              0.0009506,              0.0009506
                     56,                0.75435,                0.60401,                 1.0314,                0.72055,                0.74457,                0.80405,                0.47827,                 1.3505,                0.99851,                 1.3527,              0.0009308,              0.0009308,              0.0009308
                     57,                0.75807,                0.62856,                 1.0684,                0.72801,                0.77717,                0.80669,                0.48185,                  1.376,                0.96936,                  1.367,               0.000911,               0.000911,               0.000911
                     58,                0.85229,                 0.6424,                 1.0971,                0.79369,                0.65761,                 0.7533,                0.43445,                 1.4739,                 1.0554,                 1.4315,              0.0008912,              0.0008912,              0.0008912
                     59,                0.73082,                 0.5858,                 1.0455,                 0.8072,                  0.625,                0.74629,                0.45143,                 1.4351,                  1.008,                 1.4141,              0.0008714,              0.0008714,              0.0008714
                     60,                0.72513,                 0.5746,                  1.025,                0.79155,                0.66304,                0.78033,                0.45774,                 1.4341,                 1.0902,                 1.4085,              0.0008516,              0.0008516,              0.0008516
