                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98808,                0.82163,                 1.1378,                0.76665,                0.72826,                 0.7922,                0.46308,                  1.398,                  1.021,                 1.3659,              0.0013268,              0.0013268,              0.0013268
                     36,                0.95867,                0.76704,                 1.0852,                0.78007,                0.71322,                0.78104,                0.46578,                 1.3953,                 1.0593,                 1.3641,               0.001307,               0.001307,               0.001307
                     37,                0.92957,                0.72893,                 1.0851,                0.86722,                0.63894,                0.75391,                0.43389,                 1.4369,                  1.118,                 1.4227,              0.0012872,              0.0012872,              0.0012872
                     38,                0.93109,                0.79272,                 1.0989,                0.77761,                0.63587,                0.73923,                0.40652,                 1.4803,                 1.1592,                 1.3932,              0.0012674,              0.0012674,              0.0012674
                     39,                0.94204,                0.81039,                 1.1037,                0.73054,                0.69022,                0.78908,                 0.4624,                 1.4274,                 1.0649,                 1.3805,              0.0012476,              0.0012476,              0.0012476
                     40,                0.88892,                0.73841,                 1.0982,                0.83067,                 0.6413,                0.76387,                0.43668,                 1.5065,                 1.0894,                 1.4622,              0.0012278,              0.0012278,              0.0012278
                     41,                0.85092,                0.69108,                 1.0715,                0.81126,                0.67935,                0.78728,                0.46357,                   1.41,                 1.0213,                 1.3859,               0.001208,               0.001208,               0.001208
                     42,                0.87612,                 0.7071,                 1.0749,                0.79879,                0.67391,                0.78355,                0.46427,                 1.4106,                 1.0095,                 1.3942,              0.0011882,              0.0011882,              0.0011882
                     43,                0.82223,                  0.711,                 1.0476,                0.76213,                0.71395,                0.77392,                 0.4537,                 1.4448,                 1.0121,                  1.405,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.9081,                0.79269,                 1.1388,                0.79469,                0.69422,                0.78682,                0.44288,                  1.484,                 1.0362,                 1.4333,              0.0011486,              0.0011486,              0.0011486
                     45,                0.88588,                0.71744,                 1.1147,                0.79592,                0.74188,                0.81532,                0.47432,                 1.4306,                 1.0822,                 1.4159,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.8673,                0.71612,                 1.0588,                0.77926,                0.66848,                0.76984,                 0.4459,                 1.4291,                 1.0498,                 1.3898,               0.001109,               0.001109,               0.001109
                     47,                0.86727,                0.72434,                 1.0757,                0.74269,                0.73727,                0.76675,                 0.4403,                 1.4481,                 1.0702,                 1.4228,              0.0010892,              0.0010892,              0.0010892
                     48,                0.86556,                0.71069,                 1.1558,                  0.837,                 0.6419,                0.75601,                0.42119,                 1.4652,                 1.1336,                 1.4457,              0.0010694,              0.0010694,              0.0010694
                     49,                0.93299,                0.84661,                 1.1439,                0.78654,                0.70091,                0.77978,                0.42601,                 1.4604,                 1.0496,                  1.445,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0565,                 1.0472,                 1.4658,                0.82096,                0.65217,                0.76428,                0.44998,                 1.3932,                 1.0873,                 1.3775,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.7997,                0.63327,                 1.0408,                0.86738,                  0.625,                0.75755,                 0.4508,                 1.4087,                 1.0667,                 1.4013,                0.00101,                0.00101,                0.00101
                     52,                0.82149,                0.64155,                 1.0486,                0.88066,                0.66304,                0.76908,                0.45506,                 1.4304,                 1.0278,                 1.4555,              0.0009902,              0.0009902,              0.0009902
                     53,                0.78103,                0.63099,                  1.046,                0.82111,                0.63587,                0.75078,                0.45518,                 1.4042,                 1.0946,                  1.414,              0.0009704,              0.0009704,              0.0009704
                     54,                0.79193,                0.62544,                 1.0386,                0.83032,                0.67391,                0.79287,                0.47054,                 1.4065,                0.99845,                 1.3986,              0.0009506,              0.0009506,              0.0009506
                     55,                0.81822,                0.65649,                  1.056,                0.83556,                0.66304,                 0.7823,                0.46402,                  1.402,                 1.0653,                 1.3619,              0.0009308,              0.0009308,              0.0009308
                     56,                0.77194,                0.59918,                 1.0377,                0.66819,                0.70109,                0.72762,                0.43483,                 1.4258,                 1.0869,                  1.381,               0.000911,               0.000911,               0.000911
